sentence_markdown,sectionId,classifierNotes,lessonsLearned
הוא [התכתב] עם המרצה.,"Selection,Standard,Full,התכתב,Canonical,Surface,Inflection,התכתב,gender=Masc|number=Sing|person=3|tense=Past|voice=Mid,Lemma,he,Lexeme,VERB,כתב,💬,hebBinyan=HITPAEL",התכתב is analyzed as HITPAEL with voice Mid to expose reflexive or reciprocal middle behavior.,
הוא [כתב] מהר.,"Selection,Standard,Full,כתב,Canonical,Surface,Inflection,כתב,gender=Masc|number=Sing|person=3|tense=Past,Lemma,he,Lexeme,VERB,כתב,✍️,hebBinyan=PAAL","כתב is the verb inflection here, distinct from both the root morpheme and noun-like uses.",
"הוא שירת ב[צה""ל].","Selection,Standard,Full,""צה""""ל"",Canonical,Surface,Citation,""צה""""ל"",Lemma,he,Lexeme,PROPN,""צה""""ל"",🪖,abbr=Yes|gender=Masc","צה""ל is an abbreviated proper noun with the quote mark retained and abbr Yes.",
החדרים [גדולים].,"Selection,Standard,Full,גדולים,Canonical,Surface,Inflection,גדולים,gender=Masc|number=Plur,Lemma,he,Lexeme,ADJ,גדול,📏,",גדולים is a masculine plural adjective inflection.,
היא [כתבה] מכתב קצר.,"Selection,Standard,Full,כתבה,Canonical,Surface,Inflection,כתבה,gender=Fem|number=Sing|person=3|tense=Past,Lemma,he,Lexeme,VERB,כתב,✍️,hebBinyan=PAAL",כתבה is the past feminine-singular verb from כתב despite the homographic noun article.,
הם נפגשו [ב]בית.,"Selection,Standard,Full,ב,Canonical,Surface,Citation,ב,Lemma,he,Morpheme,Prefix,ב,📍,",ב is treated as a prefix morpheme even though it corresponds semantically to a preposition.,
הספר [של] נועה נשאר כאן.,"Selection,Standard,Full,של,Canonical,Surface,Citation,של,Lemma,he,Lexeme,ADP,של,🔗,case=Gen","של is the genitive relation marker here, modeled as ADP.",
הראיון היה על ה[פנים].,"Selection,Standard,Partial,פנים,Canonical,Surface,Citation,על הפנים,Lemma,he,Phraseme,Idiom,על הפנים,😖,","פנים is a partial selection against the whole idiom על הפנים, not a noun attestation.",
השאלות [הטובות] נשארו לסוף.,"Selection,Standard,Full,הטובות,Canonical,Surface,Inflection,הטובות,definite=Def|gender=Fem|number=Plur,Lemma,he,Lexeme,ADJ,טוב,👍,",הטובות is a definite feminine plural adjective surface that preserves article agreement.,
זו טעות [גדולה].,"Selection,Standard,Full,גדולה,Canonical,Surface,Inflection,גדולה,gender=Fem|number=Sing,Lemma,he,Lexeme,ADJ,גדול,📏,",גדולה is a feminine singular adjective inflection.,
חזרתי ל[בית].,"Selection,Standard,Partial,בית,Canonical,Surface,Inflection,הבית,definite=Def,Lemma,he,Lexeme,NOUN,בית,🏠,gender=Masc",בית is a partial selection against a definite noun surface; the omitted article still drives definite Def.,
יצאתי [ל]עבודה מוקדם.,"Selection,Standard,Full,ל,Canonical,Surface,Citation,ל,Lemma,he,Morpheme,Prefix,ל,➡️,","ל is treated as a prefix morpheme, not a full adposition lexeme, because it is selected inside an attached form.",
מחר [אוכל] מוקדם.,"Selection,Standard,Full,אוכל,Canonical,Surface,Inflection,אוכל,number=Sing|person=1|tense=Fut,Lemma,he,Lexeme,VERB,אכל,🍽️,hebBinyan=PAAL","אוכל is the future first-person verb from אכל, separated from the noun homograph.",
מצאתי [מכתבים] ישנים.,"Selection,Standard,Full,מכתבים,Canonical,Surface,Inflection,מכתבים,number=Plur,Lemma,he,Lexeme,NOUN,מכתב,✉️,gender=Masc","מכתבים is the plural noun from מכתב, not a verb-root attestation.",
נמשיך [כאשר] כולם יגיעו.,"Selection,Standard,Full,כאשר,Canonical,Surface,Citation,כאשר,Lemma,he,Lexeme,SCONJ,כאשר,⏱️,case=Tem",כאשר is SCONJ with temporal case because the schema exposes that feature for Hebrew subordinators.,
נשארנו בבית [בגלל] הגשם.,"Selection,Standard,Full,בגלל,Canonical,Surface,Citation,בגלל,Lemma,he,Lexeme,ADP,בגלל,☔,",בגלל is a causal adposition without an additional case feature in the current schema.,
עברתי ל[תל אביב].,"Selection,Standard,Full,תל אביב,Canonical,Surface,Citation,תל אביב,Lemma,he,Lexeme,PROPN,תל אביב,🌆,gender=Fem",תל אביב is a multiword proper-noun citation with no additional inflectional surface features.,
קניתי [שתי] מחברות.,"Selection,Standard,Full,שתי,Canonical,Surface,Inflection,שתי,definite=Cons|gender=Fem|number=Dual,Lemma,he,Lexeme,NUM,שתיים,2️⃣,",שתי is the construct or feminine form of שתיים and is intentionally awkward for feature-boundary testing.,
ראיתי [את] הסרט.,"Selection,Standard,Full,את,Canonical,Surface,Citation,את,Lemma,he,Lexeme,ADP,את,🎯,case=Acc","את is the accusative marker here, modeled as ADP and kept separate from the pronoun homograph.",
רחצתי [ידיים].,"Selection,Standard,Full,ידיים,Canonical,Surface,Inflection,ידיים,number=Dual,Lemma,he,Lexeme,NOUN,יד,🤲,gender=Fem",ידיים is a dual-number surface for a paired body part.,
רק [את] יודעת.,"Selection,Standard,Full,את,Canonical,Surface,Inflection,את,gender=Fem|number=Sing|person=2,Lemma,he,Lexeme,PRON,את,👉,pronType=Prs","את is the pronoun homograph here, modeled with feminine second-person features.",
